date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:35:12	0/0	------	403	error ('Forbidden')	text/html	date:Sat,%2015%20Apr%202023%2015:33:31%20GMT	https://api.bol.com/robots.txt		(from )
17:35:12	107991/107991	------	200	untouched ('OK')	text/html	date:Thu,%2013%20Apr%202023%2014:51:28%20GMT	https://api.bol.com/retailer/public/Retailer-API/index.html	E:/AI/AutoGPT%200.2.0/Auto-GPT/auto_gpt_workspace/bol-api-pages/Bol.com%20API/api.bol.com/retailer/public/Retailer-API/index.html	(from )
17:35:12	17355/17355	------	404	error ('Not%20Found')	text/html	date:Thu,%2013%20Apr%202023%2009:49:55%20GMT	https://www.bol.com/favicon-194x194.png	E:/AI/AutoGPT%200.2.0/Auto-GPT/auto_gpt_workspace/bol-api-pages/Bol.com%20API/www.bol.com/favicon-194x194.3.delayed	(from https://api.bol.com/retailer/public/Retailer-API/index.html)
17:35:12	46910/46910	------	200	untouched ('OK')	text/css	date:Thu,%2013%20Apr%202023%2014:51:28%20GMT	https://api.bol.com/retailer/public/_/css/site.css?cache_bust=1651567390652	E:/AI/AutoGPT%200.2.0/Auto-GPT/auto_gpt_workspace/bol-api-pages/Bol.com%20API/api.bol.com/retailer/public/_/css/sited6b5.css	(from https://api.bol.com/retailer/public/Retailer-API/index.html)
17:35:12	698/698	------	200	untouched ('')	image/png	date:Thu,%2013%20Apr%202023%2009:49:55%20GMT	https://www.bol.com/favicon-32x32.png	E:/AI/AutoGPT%200.2.0/Auto-GPT/auto_gpt_workspace/bol-api-pages/Bol.com%20API/www.bol.com/favicon-32x32.png	(from https://api.bol.com/retailer/public/Retailer-API/index.html)
17:35:12	87010/87010	---M--	200	added ('OK')	text/html	date:Thu,%2013%20Apr%202023%2014:51:28%20GMT	https://api.bol.com/retailer/public/Retailer-API/selling-on-bolcom-processflow.html	E:/AI/AutoGPT%200.2.0/Auto-GPT/auto_gpt_workspace/bol-api-pages/Bol.com%20API/api.bol.com/retailer/public/Retailer-API/selling-on-bolcom-processflow.html	(from https://api.bol.com/retailer/public/Retailer-API/index.html)
17:35:12	82291/82291	---M--	200	added ('OK')	text/html	date:Thu,%2013%20Apr%202023%2014:51:28%20GMT	https://api.bol.com/retailer/public/Retailer-API/tutorial-videos.html	E:/AI/AutoGPT%200.2.0/Auto-GPT/auto_gpt_workspace/bol-api-pages/Bol.com%20API/api.bol.com/retailer/public/Retailer-API/tutorial-videos.html	(from https://api.bol.com/retailer/public/Retailer-API/index.html)
17:35:13	2212/2212	------	200	untouched ('')	image/png	date:Thu,%2013%20Apr%202023%2009:49:55%20GMT	https://www.bol.com/android-chrome-192x192.png	E:/AI/AutoGPT%200.2.0/Auto-GPT/auto_gpt_workspace/bol-api-pages/Bol.com%20API/www.bol.com/android-chrome-192x192.png	(from https://api.bol.com/retailer/public/Retailer-API/index.html)
17:35:13	491/491	------	200	untouched ('')	image/png	date:Thu,%2013%20Apr%202023%2009:49:55%20GMT	https://www.bol.com/favicon-16x16.png	E:/AI/AutoGPT%200.2.0/Auto-GPT/auto_gpt_workspace/bol-api-pages/Bol.com%20API/www.bol.com/favicon-16x16.png	(from https://api.bol.com/retailer/public/Retailer-API/index.html)
17:35:13	63499/63499	------	200	untouched ('')	application/javascript	etag:%225f457386-f80b%22	https://cdnjs.cloudflare.com/ajax/libs/mathjax/2.7.9/MathJax.js?config=TeX-MML-AM_HTMLorMML	E:/AI/AutoGPT%200.2.0/Auto-GPT/auto_gpt_workspace/bol-api-pages/Bol.com%20API/cdnjs.cloudflare.com/ajax/libs/mathjax/2.7.9/MathJaxec99.js	(from https://api.bol.com/retailer/public/Retailer-API/index.html)
17:35:13	85449/85449	------	200	untouched ('OK')	text/html	date:Thu,%2013%20Apr%202023%2014:51:28%20GMT	https://api.bol.com/retailer/public/Retailer-API/getting-started.html	E:/AI/AutoGPT%200.2.0/Auto-GPT/auto_gpt_workspace/bol-api-pages/Bol.com%20API/api.bol.com/retailer/public/Retailer-API/getting-started.html	(from https://api.bol.com/retailer/public/Retailer-API/index.html)
17:35:13	83243/83243	------	200	untouched ('OK')	text/html	date:Thu,%2013%20Apr%202023%2014:51:28%20GMT	https://api.bol.com/retailer/public/Retailer-API/key-concepts.html	E:/AI/AutoGPT%200.2.0/Auto-GPT/auto_gpt_workspace/bol-api-pages/Bol.com%20API/api.bol.com/retailer/public/Retailer-API/key-concepts.html	(from https://api.bol.com/retailer/public/Retailer-API/index.html)
17:35:13	90385/90385	---M--	200	added ('OK')	text/html	date:Thu,%2013%20Apr%202023%2014:51:28%20GMT	https://api.bol.com/retailer/public/Retailer-API/best-practices.html	E:/AI/AutoGPT%200.2.0/Auto-GPT/auto_gpt_workspace/bol-api-pages/Bol.com%20API/api.bol.com/retailer/public/Retailer-API/best-practices.html	(from https://api.bol.com/retailer/public/Retailer-API/index.html)
17:35:13	106453/106453	---M--	200	added ('OK')	text/html	date:Thu,%2013%20Apr%202023%2014:51:28%20GMT	https://api.bol.com/retailer/public/Retailer-API/authentication.html	E:/AI/AutoGPT%200.2.0/Auto-GPT/auto_gpt_workspace/bol-api-pages/Bol.com%20API/api.bol.com/retailer/public/Retailer-API/authentication.html	(from https://api.bol.com/retailer/public/Retailer-API/index.html)
17:35:13	91789/91789	---M--	200	added ('OK')	text/html	date:Thu,%2013%20Apr%202023%2014:51:28%20GMT	https://api.bol.com/retailer/public/Retailer-API/intermediary-authorization.html	E:/AI/AutoGPT%200.2.0/Auto-GPT/auto_gpt_workspace/bol-api-pages/Bol.com%20API/api.bol.com/retailer/public/Retailer-API/intermediary-authorization.html	(from https://api.bol.com/retailer/public/Retailer-API/index.html)
